阿甘金融	agan988
联想之星	legendstar1
鼎晖投资	ding6tiao
天使湾创投	tisiwi_vip
戈壁创投	gobivc
海通开元	haitong95553
广发信德	gfxinde
光谷人才基金	gh_299edc8bd7ef
中路资本
挚信资本	gh_3395d2ca7545
合力投资
策源创投	Ceyuan
赛伯乐投资	cybernaut_group
飞马旅	feimalv0927
毅达资本	ADDORCAPITAL
蓝驰创投	lanchichuangtou
高瓴资本	HillhouseCapital_CN
老鹰基金	eaglesfund
源码资本	sourcecodecapital
分享投资	fxtzvc
宽带资本CBC	bjkdzb
青松基金	qingsongjijin
紫金科创
峰瑞资本	freesvc
天堂硅谷	zjttgg
基石资本	Co-stoneCapital
天星资本	tianxingcapital
浙商创投	zsvcgroup
星河互联	xinghehulian
百度
京东数科
华睿投资	huaruitouzi
光速中国	lightspeedchina
新浪微博基金（微创投）	wevcer
中科创星	casstars
普华资本	gh_442931718d34
银杏谷资本	yinxinggu289
丰厚资本	fenghouziben
天图资本	tiantucapital
明势资本	Future-Cap
复星集团	fosun-group
贝塔斯曼	bertelsmannchina
阿米巴资本	amebacapital
德迅投资	gh_8ae82bdb436a
清科创投	zero2ipoVC
创东方投资
信中利资本	xinzhongliziben
启迪之星	tuspark-incubator
斯道资本	Eight_Roads
好未来	haoweilai-tal
钟鼎创投	zhongdingchuangtou
中国风投
宁波天使投资引导基金	nbac-club
云锋基金	yunfengcapital
东湖创投
景林投资
和君资本	gh_26b2c1b13877
华人文化产业基金
娱乐工场	YLGC_EW
祥峰投资	VertexVentures
东方证券(东方星晖)	dfzqcfgl
朗玛峰创投	gh_c48312342ab7
蚂蚁金服	mayi-jinfu
华泰证券
苏河汇	suhehui_sh
隆领投资	longlingtz
创业接力	stepholdings
海尔资本
华盖资本	HG_Capital2012
盈动资本	incapital2009
如山创投	crestvalue
复星锐正资本	kinzoncapital
极客帮创投	geekfounders
金石投资	gh_8c37ebc46ccb
国金投资	gh_4276970387ca
高特佳投资	shenzhengig
华平中国	warburgpincus
红点中国	RedpointVentures
凯泰资本	ktcapital
力合清源	leaguercapital
常春藤资本	Ivy_Capital
泽厚资本	BW-Ventures
中信资本	CITIC_Capital
京东
成为资本
联想创投集团	lenovocss
中金公司	CICC_Corporation
前海母基金
元璟资本	visionpluscapital
五岳资本	gh_759b62a1498e
线性资本	LinearVenture
国家中小企业发展基金
头头是道	gh_e11e7058e568
云启资本	yunqipartners
华兴资本	iChinaRenaissance
坚果资本	Capital-nuts
中信证券
维港投资	gh_4958c92abc20
天风天睿	tianfengtianrui
小村资本	Smallville-Capital
招商局资本	cmventure
西科天使基金	xiketianshi
节点资本	nodecapital
国泰君安创新投资	gtjaiic
TCL资本	TCL_Capital
达泰资本
紫辉创投	buttonwood_capital
弘道资本	hongdaocap
唯猎资本
黑马基金	heima_jinrong
泰有投资
国信弘盛	gxhs_1234
Ventech China
微影资本(微影时代)
清流资本	CrystalstreamCapital
力合创投	Leaguer_Angel
盛世景	sensegain
春晓资本	chunxiaoziben
优势资本	PreIPO_Capital
水木资本	Tsing-Ventures
创新谷Innovalley
普思资本	WH-TOPS
今日资本	gh_2a5102030a18
金浦投资
北软天使基金
信天创投	avcapital
光大资本	GDZT-ebinvest
天使汇
银江资本	enjoyor-capital
点亮资本	dianliangziben
百度风投	baiduventures
磐谷创投
新东方	xdf2013
安芙兰创投	Amphora-Capital
兰馨亚洲
暾澜投资	gh_4afd21eafbaa
国科投资	CASIM168
广发证券	gh_18f8f9b1aa6e
协立投资	gh_e2a351b85a97
中信产业基金
苏高新创投集团
富士康
富达国际	gh_8f0383b8137c
原子创投	EastAtomic
湖畔山南资本	gh_8fe3aeccd093
中关村发展集团	zgcgroup
远致投资
汉富资本	hanfuziben
华耀资本	HorusCapital
建银国际	gh_4e9e033b5fae
用友幸福投资
凯风创投	cowinvc
粤科金融	gdykamc
博将资本	gh_c2bdecb59d94
奥飞动漫	aofei-zzh
58同城
亚商资本	abccapital
时代伯乐	Timesbolecn
纽信创投	NewsionVC
湖北高投	gh_601364a25817
真顺基金	zhenshunfund
弘晖资本	HighLightCapital
顺融资本	gh_857edbd00829
创丰资本	tronfund
泰岳梧桐资本	taiyuewutong
昆仑万维	kunlun_group
网易资本
雷雨资本	gh_e5b847c14ad6
光大控股	chinaeverbright
青山资本	cyanhillvc
尚势资本
金茂资本
光信资本	gh_0ae125df066b
集素资本
大河创投	gh_4a7bca750bdb
寒武创投
京北投资	jingbeitouzi
携程
零一创投	zero-oneVC
知卓资本	gh_89acc8dc4fc1
申万宏源证券
赛马资本	tamarace
火山石投资
礼来亚洲基金
汉理资本	hanliziben
国投创新投资
帮实资本	bangshiziben
蓝色光标	BlueFocus_Group
天神娱乐
暴龙资本
创客总部	chuangkezongbu
蓝象资本
创享投资	CreationVenture
盈科资本	YINGKEpe
天创资本	Teamtrust-capital
星辉投资	rastar_vc
弘毅投资	hytz-honycapital
硬币资本
光线传媒
深圳高新投资集团
中信建投证券
初心资本	Chuxin-Capital
浩方创投	HofanCapital
和盟创投	gh_bbc765f8e825
金控资本	gh_a14131434a41
兴业证券
东方资产
聚秀资本	juxiuziben
云天使基金	cloudangelfund
东方汇富	gh_b23dd1baed57
澎湃资本	prospartners_capital
伯藜创投	Peeli_Ventures
科大讯飞	iFLYTEK1999
中兴创投
芳晟投资	FangFund2010
创业工场	creationmarket
邦盛资本	bondshinecapital
力鼎资本	LeadingCapital
合肥高投	hfgt0821
歌斐资产	gopher-asset
招银国际	CMBInternational
磐石资本	Rock-capital
金沙江联合资本	GSR_UnitedCapital
亦庄国投	yizhuangguotou
盛景网联
盈富泰克
成都高投	cdhtgroup
浙数文化	zbcmwx
愉悦资本	JOYCAPITAL
臻云创投	powercloudvc
上汽创投	shangqizichan
长安私人资本
分布式资本	FenbushiCapital
德联资本	deliancap
开物投资
AC加速器	AC-accelerator
水木清华校友基金
昆仲资本	kinzon_capital
领庆创投	gh_cbd246e8f811
联想控股	LEGEND_HOLDINGS
中民投	cmt-inv
国药资本	sinopharmcapital
同方厚持
乐搏资本
博派资本	gh_bd799bfb029c
和玉投资
美团
合鲸资本	youngwhalecafe
国投创业	SDICVC
辰海资本	chenhaiziben
人人网	renrenwangweixin
安赐资本	antscapital
Star VC	StarVC711
磐霖资本	panlincap
挚盈资本
上海鼎锋资产
清研投资	gh_73aa86a461dd
集结号资本	geekhousecapital
游族网络
艾瑞资本	iresearchcapital
青云创投	TsingCapital
传媒梦工场	cmmgc1
紫牛基金
创业邦天使基金
天亿投资
唯嘉资本	gh_bb27f4ab4394
德沃基金
华软投资	hrtzxh
今日头条	headline_today
海丰至诚
广州越秀产业基金	gh_0571e4c1ad8a
鲁信创投	gh_928cfd14d044
MFund魔量资本	gh_69d88e054ab8
道生资本	daocincapital
源星资本	VstarCapital
协同资本	gh_f44c0947647a
泛城资产	gh_fe55b52710cd
远镜创投	TelescopeInvestment
竺道	zd_review
华瓯创投
硅谷天堂	ggttvc
乐视网	letv300104
微光创投
天风证券	tfzqxcm
盈信投资集团	h9-600519
知初资本	Initial-Capital
天奇创投
联新资本	gh_1cd28d366c85
起源资本
appWorks之初创投
熊猫资本	pandavc
华融证券
清控科创	Tiholding
中海投资	Zht_amc
复星医药	Fosunpharma
旦恩资本
好望角投资	hwjtz0760-87859168
考拉产业基金(拉卡拉)
国泰创投	GTVC-CC
源渡创投
星火金融	jtgooo
易车网
秉鸿资本	binghongzb
创势资本	chuangshiziben
高樟资本	gaozhangcap
优客工场	ucommune
伯乐纵横投资
中国文化产业投资基金	gh_5833e0acaf38
正轩投资	gh_7ad036b29f13
众海投资	ZH-Investment
山行资本	Hike-Capital
挑战者创投
青锐创投	edgeventures
CA创投
苏宁云商
国富源投资
上海建信资本	JianxinCapital
创大InnoHub
哔哩哔哩	bilibiliwx
执一资本	zhiyivc
海达投资
常高新	cgxjt1992
滴滴出行	didi-taxi
前海梧桐并购基金	wtbinggou
六禾投资	liuhe_capital
猎豹移动	cheetahmobile
富坤创投	RLequities
乔景资本
君盛投资	jscapital
比特大陆	Bitmaintech
新天域资本
麦星投资	maisoncapital
海汇投资
创世资本
长石资本	LongCapital-
盛景嘉成	Peakview_Capital
方广资本	FG-Venture
立元创投	cnlyvc
普洛斯GLP	GLPChina
金慧丰投资	jhfinv
蓝湖资本	BlueLakeCapital
连接资本
科发资本
正和岛	zhenghedao
陶石资本	Taoshi_Capital
金葵花资本	gsfcap
远瞻资本
嘉实资本	gh_18ee86b83299
华谊兄弟	hbrothers
InnoSpace创智空间
澳银资本	asbvchina
正心谷创新资本
了得资本	ld_cap
恒生电子
起点创业营	istartvc
千骥资本
重山资本	gh_e3e103a5dfdf
君润资本
泰达科投
鼎晟天平投资
龙磐投资	gh_5b284ab56e1e
鼎聚投资	djcapital2011
黑洞投资
高达资本
高捷资本	gaojieziben
顺丰速运
青骢资本	qc-capital
险峰旗云
长江国弘投资
银河资本
邦明资本	bangming2010
通和毓承	SixDimensionsCapital
远毅资本	gh_4f5b5c7ef76c
辰德资本
融玺创投
药明康德	WuXiAppTecChina
胖猫创投	pangmaoVC
聚源资本	juyuanziben2015
耀途资本	bossclub-VC
维思资本	EnvisionCapital
约印创投	yueyinvc
米仓资本
科力投资
盘古创富
盈峰资本	Inforecapital
界石投资
璀璨资本	BRIGHTCAP
玖富	i9fgroup
玖创资本	Capital_9C
海邦投资
海泉基金	beijinghaiquanjijin
海捷投资	HJTZKG
海捷投资
浅石创投	aquaventures
洪泰智造工场
沃衍资本	richlandcapital
汉鼎宇佑资本
汉能创投
正海资本	royalsea-capital
欢聚时代	huanju_YYInc
极豆资本	gh_9bcf971409c0
杭州多牛资本
杉杉创投
本草资本
朗程资本	lccapital
有成创投
星瀚资本	skysagacapital
易津资本
时尚资本	gh_f2e163e91fc8
无穹创投
探针基金	gh_d3b3807eed3c
掌趣科技	ourpalm300315
招商银行
招商致远资本	cmscapital
招商局创投	cmventure
投控东海	toposcend-capital
志成资本	SuccessCapital
德丰杰龙脉基金	dfjdragon
广东天使会	AngelsCanton
巨人网络	shanghaijuren
宜信
完美世界	pwrdwx
如川基金
天鹰资本	tianyingziben
天天投	evervc
嘉御基金
唯品会
和灵资本
合一资本	heyicapital
博润投资	Broad-Resources
南山资本
华策影视	huacemedia300133
华旦天使投资
华山资本WestSummit Capital
千合资本
十方创投
动域资本	Arena_Capital
凯盈资本	KingCapital-JC
光远资本	forebrightcapital
优酷土豆
亿润投资
亚杰商会天使基金
云起资本	risingcapital
乾明投资
久奕投资
中汇金投资	zhjtz2013
中文在线	ChineseAll
中国人寿	chinalifegroup95519
中卫基金
中关村创投	ZVCPE2012
东证融通
不惑创投	buhuochuangtou
上海联和投资
上海晨晖创投
三行资本	triniticapital
三七互娱	jishu37
万达集团	guojiwanda
一创投资
RIC棕泉资本
FBG

新财迷	newcaimi
林奇看盘	linqikanpan999
光明财经	guangmingfinance
央视财经	cctvyscj
财经资讯榜	cjzxb68
财经内参	mofzpy
中国经济网	ourcecn
财经早餐	Femorning
A股铁娘子	Agtnz123
股票牛股	gpng8888
股票牛股领导者	gpngldz128
财经连环话	cjlhh888
股市龙头者	gslt8888
股市冲锋手	GSCHS88
钱币圈	qianbiquan
券商中国	quanshangcn
21财闻汇	jiayou21cbh
关沛桦看盘	gphkp168
股票早餐	GPzaocan
牛股乾坤将军	NGQKJJ01
魏宁海	weininghai
雪球	xueqiujinghua
格上理财	gesafecom
保险一点通	wi_baoxian
保险真谛	baoxianzd18
会计网	wwwkuaijicom
老杨看盘	lykp518
每日经济新闻	nbdnews
说钱	iShuoqian
洪榕	G20073882
21世纪经济报道	jjbd21
Wind资讯	windzxsh
股市龙头精选	gushilongtoujx
21金融圈	jrquan21
财经记者圈	caiji007
听听经典	caifu9418
第一财经资讯	yicainews
中国会计视野	esnaicom
拍拍贷	ppdai-com
新财富杂志	newfortune
高顿金融分析师	gaoduncfa
今日财经头条	icaijing88
股市重磅消息	wyw1849
华尔街见闻	wallstreetcn
保险伴我一生	baoxian5203344
鸣金网	mingjin-wang
理财知识	licaibook
万一保险网	wanyibaoxianwang
齐俊杰看财经	qijunjie82
税务大讲堂	shuiwu007
华商韬略	hstl8888
找口子	zhaokouzi
中华元智库	cnyuan_qzytx
保险在线	baoxianshijie
财新网	caixinwang
行业研究报告	report88
股票V	gpv998
环球老虎财经	laohucaijing01
水木然	smr8700
财经国家周刊	ENNWEEKLY
定增并购圈	PrivatePlacement
p2p黑板报	p2p911
VC/PE/MA金融圈	rmb10000e
保险论坛	ciibbs
腾讯财经	financeapp
北大纵横	ALLPKU-Wangpu
网贷之家	WDZJ-OFFICIAL
内部密文	yhdjm666
停牌金股	xt32168
微贷网	wd5_weidai
POS圈支付网	posquan
借点钱App	jiedianqian2015
财富一生	caifu1sheng
水木然专栏	smr669
保险、理财与生活	bxlc2017
我的炒股笔记	cgbj518
保险让生活更美好	bx332211
财经	mycaijing
见证转型新机遇	lgq006828
领袖汇	LXH20130517
保险新闻网	bxxw956
华尔街前沿	hejqianyan
股市每日必读	gusfqy
并购优塾	moneyC2C
市井财经	yigejubaopen
转型中的大国经济	China_income
投资中国	touzicn
菜鸟理财	cainiaolc
海外投资政策	fgzhwtz
左侧阿尔法	aefagu
九哥早评	gpjg168
出钱易	chuqianyi360
财秘笔记	rong360licai
批款侠	pikuanxia
西风烈	xifenglie68
理财周刊	moneyweekly
保险值得托付	bx777222
老钱自选股	lqzxg668
会计天下	KuaiJiSky
借贷分期	jdfq88

陆家嘴金融圈	Tradingfield
金融第一教室	jrClass
蓝海理财	tpylhlc
金融家	ijrjia
财富人生	GDP601
支付百科	Paypedia
时代新维度	times_newdns
CFO视野	cfoviews
360投资圈	touziquan360
企业家智库	qyjzhiku
犹太人商道	ldhfst
商业与思维	yoao122
投资理财	RMB166
资本生态圈	fn397056212
股权投资论坛	pe821010
新时代股权秘密	gqmm001
金融学前沿论文速递	FinanEx
见证大数据时代	Vjdqc001
见证股权新机遇	jzgqxjy
并购达人	BINGGOUDAREN
全球经济要参	jjwc88
金融主张	jrzz8848
金融圈精选	JRQjingxuan
并购菁英汇	chinamaclub

创投智库	chuangtou007
创投之家	guanchacom
将门创投	thejiangmen
小潴创投	xiaozhuchuangtou
红岭创投平台	hlct-my089
创投智汇	capital21
红岭创投	imy089
经纬创投	matrixpartnerschina
联想创投	lenovocss
VRAR创投圈	vrarchtq
创投内参	ichuangfubang
投融资俱乐部	tzrz888
火星研报	hxyb188
研报菌	yanbaojun88
电商行业	dianshanghy
互联网行业观察	hlwhygc
电商行业观察	dshygc
行业研究报告	report88
金融行业内参	topjinrong
互联网行业分析	wwwfenxi
第一财经公司与行业	yicaigshy
消费金融行业资讯	china-cfc
行业报告研究院	report_365
基金行业网	jijincn
腾讯大数据	tencentbigdata
大数据文摘	BigDataDigest
数据挖掘与大数据分析	datasudi
大数据参考	bigdatareader
见证大数据时代	Vjdqc001
解密大数据	wlw933
大数据挖掘DT数据分析	datadw
大数据深度分析	shendufenxi
锂电大数据 	weixin-lddsj
联想大数据	LenovoBigData
中国大数据	cstorbigdata
金融与大数据	worldfinancial
新华社	xinhuashefabu1
央视新闻	cctvnewscenter
人民网	people_rmw
环球时报	hqsbwx
占豪	zhanhao668
参考消息	ckxxwx
中国青年报	zqbcyol
新闻夜航 	yehang82898289
观察者网	guanchacn
新华网	newsxinhua
澎湃新闻	thepapernews
广州日报	guangzhoudaily
南方都市报	nddaily
半月谈	banyuetan-weixin
中国新闻周刊	chinanewsweekly
环球网	huanqiu-com
果壳	Guokr42
虎嗅APP	huxiu_com
创业邦	ichuangyebang
科技V讯	KJVXun
腾讯科技	qqtech
氪金思维	KJthinking
36氪	wow36kr
公关界的007	PRSPY007
首席营销官	cmo1967
营销报	iyingxiaobao
i黑马	iheima
创业最前线	chuangyezuiqianxian
高顿ACCA	gaodunacca
CMA	chinacma
财经要参	mofzpy
叶檀财经 	tancaijing
中国经济网	ourcecn
功夫财经	kongfuf
